Participant ID,Difficulty Level,SUS Score,NASA TLX Score,SUS_Q1,SUS_Q2,SUS_Q3,SUS_Q4,SUS_Q5,SUS_Q6,SUS_Q7,SUS_Q8,SUS_Q9,SUS_Q10,TLX_Mental,TLX_Physical,TLX_Temporal,TLX_Performance,TLX_Effort,TLX_Frustration
001,Level 1,72.5,56.7,4,1,2,3,4,1,4,2,4,2,17,9,10,13,12,13
001,Level 2,67.5,60.8,4,1,1,4,4,1,4,2,4,2,19,10,11,11,14,14
002,Level 1,50,59.2,3,4,3,4,4,3,3,3,3,2,6,18,17,13,19,4
002,Level 2,45,59.2,3,3,2,4,3,2,4,4,3,4,4,19,18,11,20,5
003,Level 1,70,49.2,3,1,3,3,5,2,5,2,4,4,7,10,17,9,9,13
003,Level 2,62.5,38.3,4,1,3,4,2,2,5,2,3,3,5,8,17,11,7,4
004,Level 1,80,35,4,2,4,2,4,1,5,1,4,3,5,8,5,20,7,3
004,Level 2,82.5,61.7,3,1,4,2,4,2,5,2,5,1,14,14,14,8,17,13
005,Level 1,82.5,17.5,4,2,5,3,5,1,5,1,5,4,6,4,3,5,5,4
005,Level 2,80,39.2,5,2,5,4,5,2,5,2,5,3,6,8,7,17,8,7
006,Level 1,72.5,13.3,2,2,4,1,3,2,4,2,5,2,5,1,3,3,8,2
006,Level 2,72.5,48.3,2,2,3,2,4,2,4,2,5,1,17,15,13,3,13,3
007,Level 1,90,27.5,5,1,5,3,5,2,4,1,5,1,2,4,1,18,13,1
007,Level 2,92.5,25,5,1,5,2,5,2,5,2,5,1,8,2,1,8,16,1
008,Level 1,65,49.2,5,3,4,4,3,3,4,2,4,2,21,3,8,16,13,4
008,Level 2,67.5,64.2,5,1,5,2,3,3,1,4,4,1,21,15,4,6,21,16
009,Level 1,67.5,42.5,5,4,4,3,3,2,4,2,4,2,12,10,9,1,13,12
009,Level 2,75,50,4,4,4,2,4,2,4,1,5,2,11,10,10,16,8,11
010,Level 1,65,29.2,4,2,4,3,2,1,4,2,4,4,5,5,5,14,4,8
010,Level 2,87.5,20,5,2,5,2,5,2,5,2,5,2,5,8,7,1,8,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Classification,,,,,,,,,,,,,,,,,,,
Level1,SUS,NASA,level2,SUS,NASA,,,,,,,,,,,,,,
,72.5,56.7,,67.5,60.8,,,,,,,,,,,,,,
,50,59.2,,45,59.2,,,,,,,,,,,,,,
,70,49.2,,62.5,38.3,,,,,,,,,,,,,,
,80,35,,82.5,61.7,,,,,,,,,,,,,,
,82.5,17.5,,80,39.2,,,,,,,,,,,,,,
,72.5,13.3,,72.5,48.3,,,,,,,,,,,,,,
,90,27.5,,92.5,25,,,,,,,,,,,,,,
,65,49.2,,67.5,64.2,,,,,,,,,,,,,,
,67.5,42.5,,75,50,,,,,,,,,,,,,,
,65,29.2,,87.5,20,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Wilcoxon Signed Rank Test Results on Two Levels,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
N = 10,¦Á = 0.05,Critical  Value = 8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,W test statistic,Number of non-tied pairs (n),Result,,,,,,,,,,,,,,,,
SUS,21,9,no significant difference,,,,,,,,,,,,,,,,
NASA,10,9,no significant difference,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Testing Website,,,,,,,,,,,,,,,,,,,
https://www.statology.org/wilcoxon-signed-rank-test-calculator/,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Reference Table: Critical Value,,,,,,,,,,,,,,,,,,,
